question_id,question,type,pipeline,fuzzy_score,llm_judge_score,human_score
Q002,"Nel paper RAG, il retriever usa DPR. Cosa distingue il formato 'input order' dal formato 'index order' nella rappresentazione dei documenti?",simple,,,,,
Q006,"Nel Transformer, da quali due sotto-strati principali è composto ogni blocco encoder e in che ordine appaiono?",simple,,,,,
Q009,"Secondo il survey, quali sono le tre grandi aree in cui vengono organizzati i metodi di valutazione degli LLM?",simple,,,,,
Q012,"Quali sono le quattro metriche principali proposte da Ragas e cosa misura ciascuna sinteticamente?",simple,,,,,
Q015,"Quali sono le 7 metriche di valutazione usate da HELM e come si raggruppano in categorie?",simple,,,,,
Q017,"Descrivi come Self-RAG utilizza i retrieval token e i critique token per controllare il processo di generazione.",local_reasoning,,,,,
Q019,"Spiega come funziona il meccanismo di scaled dot-product attention nel Transformer e come viene esteso alla multi-head attention.",local_reasoning,,,,,
Q022,"Quali sono i rischi principali associati ai foundation models secondo il report di Bommasani et al., e quali strategie di mitigazione vengono proposte per ciascuno?",local_reasoning,,,,,
Q024,"CRAG analizza la degradazione della retrieval quality. Quali tipi di domande soffrono più di questo fenomeno e quali sono le cause principali identificate?",local_reasoning,,,,,
Q027,"Quali sono le principali differenze metodologiche tra l'approccio di valutazione di Ragas (focalizzato su pipeline RAG) e quello di HELM (olistico)?",multi_document,,,,,
Q029,"In che modo Self-RAG e CRAG affrontano il problema della factuality nelle risposte generate? I loro approcci sono complementari o alternativi?",multi_document,,,,,
Q032,"Come vengono trattati i temi di bias e fairness nel report dei foundation models (Bommasani) rispetto al survey sulla valutazione LLM (Chang)?",multi_document,,,,,
Q034,"Entrambi i paper (YOLOv7 e Transformer) usano residual connections. Confronta il ruolo e l'implementazione delle residual connections nei due modelli.",multi_document,,,,,
Q036,"Nella tabella dei risultati BLEU sul WMT 2014 EN-DE, quale configurazione del Transformer ottiene il punteggio BLEU più alto e quanto vale?",table_extraction,,,,,
Q038,"Secondo la tabella riassuntiva di HELM, quali modelli ottengono i migliori punteggi medi attraverso le 7 metriche e quali sono i trade-off principali evidenziati?",table_extraction,,,,,
Q040,"Nella tabella dei risultati per dominio di CRAG, in quali domini la retrieval quality degrada maggiormente e in quali è più stabile?",table_extraction,,,,,
Q042,"Quale framework di deep learning (PyTorch, TensorFlow, JAX) è stato usato per implementare gli esperimenti del paper RAG?",negative,,,,,
Q044,"Quale GPU è stata usata per eseguire la valutazione HELM sui modelli?",negative,,,,,
Q047,"Nel paper Transformer, quale learning rate costante viene usato per tutto il training?",negative,,,,,
Q049,"Quali sono i nomi dei revisori del paper CRAG?",negative,,,,,
